customer_id,customer_name,gender,age,city,state,signup_date,customer_segment
CUST00001,Customer_00001,Male,37,Kolkata,West Bengal,2023-05-31,Consumer
CUST00002,Customer_00002,Female,56,Chennai,Tamil Nadu,2025-05-17,Corporate
CUST00003,Customer_00003,Female,20,Delhi,Tamil Nadu,2025-08-31,Consumer
CUST00004,Customer_00004,Female,22,Ahmedabad,Karnataka,2023-05-22,Consumer
CUST00005,Customer_00005,Male,18,Ahmedabad,Tamil Nadu,2023-09-08,Consumer
CUST00006,Customer_00006,Male,32,Ahmedabad,West Bengal,2025-08-15,Consumer
CUST00007,Customer_00007,Male,43,Pune,Tamil Nadu,2025-06-25,Corporate
CUST00008,Customer_00008,Female,20,Kolkata,Delhi,2024-10-05,Premium
CUST00009,Customer_00009,Female,57,Kolkata,West Bengal,2025-12-06,Premium
CUST00010,Customer_00010,Female,58,Delhi,Tamil Nadu,2023-04-04,Consumer
CUST00011,Customer_00011,Male,64,Kolkata,Gujarat,2025-01-30,Consumer
CUST00012,Customer_00012,Female,59,Ahmedabad,Gujarat,2023-12-22,Consumer
CUST00013,Customer_00013,Female,51,Hyderabad,West Bengal,2024-06-15,Consumer
CUST00014,Customer_00014,Male,69,Ahmedabad,Tamil Nadu,2024-11-22,Consumer
CUST00015,Customer_00015,Male,22,Mumbai,Gujarat,2024-10-09,Consumer
CUST00016,Customer_00016,Male,48,Chennai,Delhi,2024-12-02,Consumer
CUST00017,Customer_00017,Male,68,Hyderabad,Karnataka,2024-12-24,Corporate
CUST00018,Customer_00018,Female,30,Hyderabad,Gujarat,2025-07-05,Consumer
CUST00019,Customer_00019,Male,60,Ahmedabad,West Bengal,2023-03-05,Corporate
CUST00020,Customer_00020,Male,18,Delhi,Gujarat,2025-07-14,Consumer
CUST00021,Customer_00021,Female,39,Chennai,Maharashtra,2024-12-27,Corporate
CUST00022,Customer_00022,Male,32,Delhi,Delhi,2025-02-04,Corporate
CUST00023,Customer_00023,Male,43,Mumbai,Gujarat,2025-07-11,Consumer
CUST00024,Customer_00024,Male,35,Kolkata,Karnataka,2024-10-14,Consumer
CUST00025,Customer_00025,Male,65,Delhi,Maharashtra,2025-06-23,Corporate
CUST00026,Customer_00026,Female,26,Bengaluru,West Bengal,2025-11-06,Consumer
CUST00027,Customer_00027,Male,18,Delhi,West Bengal,2024-08-29,Consumer
CUST00028,Customer_00028,Female,60,Kolkata,Tamil Nadu,2025-01-15,Consumer
CUST00029,Customer_00029,Female,26,Bengaluru,Delhi,2025-07-28,Consumer
CUST00030,Customer_00030,Male,40,Hyderabad,Gujarat,2023-03-29,Consumer
CUST00031,Customer_00031,Female,60,Mumbai,Tamil Nadu,2024-07-16,Consumer
CUST00032,Customer_00032,Male,62,Kolkata,Delhi,2024-03-17,Premium
CUST00033,Customer_00033,Male,19,Pune,West Bengal,2025-10-28,Consumer
CUST00034,Customer_00034,Female,31,Bengaluru,Maharashtra,2024-07-12,Premium
CUST00035,Customer_00035,Female,55,Mumbai,Gujarat,2025-01-22,Consumer
CUST00036,Customer_00036,Female,57,Delhi,West Bengal,2025-06-19,Consumer
CUST00037,Customer_00037,Male,35,Pune,Karnataka,2024-04-25,Consumer
CUST00038,Customer_00038,Male,33,Delhi,Delhi,2024-12-03,Corporate
CUST00039,Customer_00039,Female,46,Kolkata,West Bengal,2025-07-31,Consumer
CUST00040,Customer_00040,Male,61,Hyderabad,West Bengal,2025-03-03,Corporate
CUST00041,Customer_00041,Male,28,Kolkata,Karnataka,2023-05-06,Consumer
CUST00042,Customer_00042,Female,23,Ahmedabad,Tamil Nadu,2024-11-20,Consumer
CUST00043,Customer_00043,Male,20,Kolkata,West Bengal,2024-04-21,Consumer
CUST00044,Customer_00044,Female,31,Kolkata,Tamil Nadu,2024-11-15,Corporate
CUST00045,Customer_00045,Male,19,Delhi,Maharashtra,2024-01-07,Consumer
CUST00046,Customer_00046,Female,49,Bengaluru,Maharashtra,2024-06-25,Consumer
CUST00047,Customer_00047,Male,48,Hyderabad,Telangana,2024-07-13,Consumer
CUST00048,Customer_00048,Female,28,Mumbai,Telangana,2023-06-28,Consumer
CUST00049,Customer_00049,Female,39,Hyderabad,Maharashtra,2024-07-20,Corporate
CUST00050,Customer_00050,Male,20,Ahmedabad,Gujarat,2025-01-17,Consumer
CUST00051,Customer_00051,Female,67,Mumbai,Tamil Nadu,2025-08-08,Consumer
CUST00052,Customer_00052,Female,48,Chennai,Karnataka,2023-10-29,Consumer
CUST00053,Customer_00053,Female,50,Bengaluru,West Bengal,2024-08-08,Consumer
CUST00054,Customer_00054,Female,41,Ahmedabad,West Bengal,2023-02-26,Consumer
CUST00055,Customer_00055,Female,18,Bengaluru,Maharashtra,2025-10-20,Consumer
CUST00056,Customer_00056,Female,61,Mumbai,Gujarat,2024-12-21,Consumer
CUST00057,Customer_00057,Male,32,Delhi,Karnataka,2024-02-14,Consumer
CUST00058,Customer_00058,Male,54,Pune,Telangana,2024-10-07,Consumer
CUST00059,Customer_00059,Male,44,Delhi,Karnataka,2023-03-03,Consumer
CUST00060,Customer_00060,Male,55,Chennai,Maharashtra,2023-09-05,Consumer
CUST00061,Customer_00061,Male,65,Mumbai,Tamil Nadu,2024-05-11,Consumer
CUST00062,Customer_00062,Male,44,Chennai,Maharashtra,2023-02-25,Corporate
CUST00063,Customer_00063,Female,61,Mumbai,West Bengal,2024-04-03,Consumer
CUST00064,Customer_00064,Male,29,Chennai,West Bengal,2025-07-07,Corporate
CUST00065,Customer_00065,Male,20,Mumbai,Delhi,2024-07-10,Consumer
CUST00066,Customer_00066,Female,47,Bengaluru,Gujarat,2025-08-21,Consumer
CUST00067,Customer_00067,Male,49,Ahmedabad,Gujarat,2024-03-19,Consumer
CUST00068,Customer_00068,Female,40,Chennai,Gujarat,2025-03-02,Consumer
CUST00069,Customer_00069,Male,19,Chennai,Delhi,2024-05-05,Consumer
CUST00070,Customer_00070,Other,24,Ahmedabad,Delhi,2024-08-17,Premium
CUST00071,Customer_00071,Female,51,Mumbai,Tamil Nadu,2024-02-12,Consumer
CUST00072,Customer_00072,Male,49,Hyderabad,Gujarat,2023-11-23,Consumer
CUST00073,Customer_00073,Male,56,Hyderabad,Maharashtra,2025-07-30,Consumer
CUST00074,Customer_00074,Female,49,Bengaluru,Delhi,2025-08-06,Premium
CUST00075,Customer_00075,Female,60,Delhi,Maharashtra,2024-01-18,Consumer
CUST00076,Customer_00076,Female,60,Delhi,Telangana,2025-10-10,Consumer
CUST00077,Customer_00077,Female,31,Bengaluru,Gujarat,2023-12-13,Consumer
CUST00078,Customer_00078,Male,20,Delhi,Delhi,2023-09-29,Corporate
CUST00079,Customer_00079,Male,63,Ahmedabad,Delhi,2024-01-31,Consumer
CUST00080,Customer_00080,Male,49,Pune,Tamil Nadu,2023-06-03,Consumer
CUST00081,Customer_00081,Female,60,Ahmedabad,Maharashtra,2025-12-26,Corporate
CUST00082,Customer_00082,Female,53,Pune,Tamil Nadu,2025-04-20,Consumer
CUST00083,Customer_00083,Male,34,Pune,Tamil Nadu,2023-12-14,Premium
CUST00084,Customer_00084,Male,65,Kolkata,Maharashtra,2025-12-22,Consumer
