order_id,product_id,quantity,unit_price,discount
ORD003490,PROD0285,5,1253.77,0.0
ORD000375,PROD0213,5,475.42,0.0
ORD010366,PROD0195,3,525.15,0.0
ORD017911,PROD0214,4,285.7,0.1
ORD013600,PROD0204,1,1064.24,0.0
ORD005198,PROD0131,2,719.35,0.05
ORD005685,PROD0037,5,1059.57,0.0
ORD015353,PROD0275,5,1740.08,0.0
ORD016772,PROD0124,4,7033.68,0.0
ORD006197,PROD0295,5,450.65,0.1
ORD017244,PROD0171,1,619.82,0.1
ORD008252,PROD0276,2,1150.97,0.15
ORD017654,PROD0040,4,5448.94,0.0
ORD015613,PROD0019,4,2132.91,0.15
ORD005103,PROD0230,3,1187.41,0.15
ORD011076,PROD0280,4,239.29,0.0
ORD004837,PROD0257,2,994.46,0.2
ORD004897,PROD0060,1,511.57,0.05
ORD003966,PROD0099,5,550.57,0.1
ORD015010,PROD0007,1,838.82,0.1
ORD013711,PROD0085,1,2361.96,0.1
ORD002272,PROD0031,2,2790.09,0.0
ORD005179,PROD0051,3,257.94,0.0
ORD005100,PROD0209,4,4636.93,0.1
ORD009570,PROD0188,3,5555.06,0.05
ORD008032,PROD0204,3,1064.24,0.0
ORD009401,PROD0060,3,511.57,0.1
ORD012606,PROD0224,5,4037.97,0.05
ORD011979,PROD0079,1,1557.75,0.15
ORD009969,PROD0195,1,525.15,0.05
ORD014345,PROD0057,3,1480.61,0.1
ORD004848,PROD0230,3,1187.41,0.15
ORD016919,PROD0242,4,1251.99,0.0
ORD008568,PROD0092,5,2466.2,0.0
ORD005253,PROD0288,4,1099.87,0.1
ORD000112,PROD0071,5,1519.69,0.0
ORD005468,PROD0296,3,605.83,0.1
ORD010655,PROD0244,5,1140.3,0.1
ORD012809,PROD0074,1,701.79,0.0
ORD008201,PROD0053,2,499.98,0.05
ORD006729,PROD0190,1,1494.94,0.1
ORD013550,PROD0131,3,719.35,0.0
ORD005114,PROD0002,1,1122.65,0.1
ORD001648,PROD0182,5,1491.37,0.1
ORD012521,PROD0102,5,1726.73,0.0
ORD001650,PROD0051,3,257.94,0.2
ORD000132,PROD0046,4,423.5,0.1
ORD007633,PROD0223,5,1507.47,0.0
ORD010358,PROD0019,1,2132.91,0.05
ORD005475,PROD0150,3,1469.35,0.1
ORD007308,PROD0149,1,231.51,0.0
ORD016811,PROD0283,2,1585.65,0.1
ORD002221,PROD0127,3,1166.2,0.1
ORD013979,PROD0149,1,231.51,0.0
ORD000105,PROD0080,4,1973.58,0.05
ORD001596,PROD0029,4,1224.14,0.05
ORD000522,PROD0289,1,1376.41,0.0
ORD008341,PROD0266,5,1066.97,0.2
ORD011222,PROD0145,5,2107.82,0.05
ORD009605,PROD0191,1,425.27,0.1
ORD016579,PROD0262,5,1081.48,0.0
ORD010816,PROD0138,5,2041.26,0.0
ORD001306,PROD0011,5,569.66,0.1
ORD004091,PROD0235,3,1069.09,0.15
ORD013885,PROD0038,5,1310.24,0.1
ORD002413,PROD0046,5,423.5,0.1
ORD005264,PROD0125,1,1338.46,0.15
ORD003271,PROD0288,3,1099.87,0.05
ORD013069,PROD0217,2,748.27,0.0
ORD011570,PROD0114,3,983.9,0.0
ORD012165,PROD0220,5,1249.15,0.15
ORD003008,PROD0137,2,445.2,0.2
ORD014752,PROD0260,1,2453.91,0.1
ORD006333,PROD0050,5,138.33,0.05
ORD002092,PROD0077,5,372.07,0.2
ORD014087,PROD0073,1,3798.83,0.0
ORD014308,PROD0015,3,768.6,0.1
ORD003451,PROD0020,3,2005.81,0.0
ORD003274,PROD0235,4,1069.09,0.0
ORD013121,PROD0196,4,624.67,0.0
ORD016111,PROD0054,5,1149.11,0.1
ORD017943,PROD0253,2,3782.92,0.05
ORD010378,PROD0265,2,709.86,0.05
ORD015219,PROD0152,3,3664.43,0.1
ORD011567,PROD0028,1,740.62,0.0
ORD008841,PROD0263,2,754.46,0.1
ORD014283,PROD0048,4,2692.11,0.0
ORD017753,PROD0104,4,917.71,0.2
ORD007711,PROD0015,5,768.6,0.1
ORD005320,PROD0017,2,5213.81,0.1
ORD002918,PROD0179,2,608.27,0.1
ORD010967,PROD0226,3,322.28,0.05
ORD014311,PROD0162,4,377.71,0.15
ORD002648,PROD0114,1,983.9,0.0
ORD011683,PROD0134,3,938.67,0.1
ORD002382,PROD0204,4,1064.24,0.0
ORD016756,PROD0264,4,409.67,0.0
ORD005768,PROD0155,1,383.07,0.0
ORD008519,PROD0086,1,1292.77,0.1
ORD007865,PROD0105,2,813.74,0.2
ORD011308,PROD0070,5,2065.33,0.1
ORD002525,PROD0221,1,861.75,0.1
ORD015685,PROD0240,2,1736.87,0.15
ORD015060,PROD0262,5,1081.48,0.0
ORD016155,PROD0045,1,1204.82,0.1
ORD004824,PROD0256,4,895.23,0.1
ORD000915,PROD0168,1,1759.17,0.1
ORD001945,PROD0280,2,239.29,0.1
ORD006295,PROD0053,5,499.98,0.0
ORD015022,PROD0235,4,1069.09,0.15
ORD015925,PROD0187,4,2575.23,0.0
ORD000306,PROD0019,5,2132.91,0.15
ORD013269,PROD0294,4,608.79,0.15
ORD008457,PROD0037,4,1059.57,0.1
ORD011726,PROD0185,2,592.37,0.05
ORD006379,PROD0209,2,4636.93,0.0
ORD008972,PROD0287,3,1180.58,0.1
ORD007936,PROD0038,4,1310.24,0.2
ORD009578,PROD0003,1,2931.9,0.15
ORD017117,PROD0137,3,445.2,0.05
ORD001361,PROD0159,5,2084.31,0.05
ORD009309,PROD0296,3,605.83,0.1
ORD003921,PROD0103,5,814.61,0.0
ORD007976,PROD0245,5,258.37,0.05
ORD012514,PROD0298,2,392.05,0.05
ORD010624,PROD0086,2,1292.77,0.0
ORD010413,PROD0006,2,997.09,0.1
ORD012811,PROD0271,2,1034.8,0.2
ORD002132,PROD0028,3,740.62,0.15
ORD006225,PROD0192,4,2094.72,0.05
ORD016953,PROD0203,2,1208.94,0.1
ORD011789,PROD0138,4,2041.26,0.2
ORD004156,PROD0295,3,450.65,0.05
ORD012093,PROD0276,3,1150.97,0.0
ORD005713,PROD0125,3,1338.46,0.1
ORD000133,PROD0260,3,2453.91,0.2
ORD000491,PROD0174,1,1681.39,0.0
ORD004060,PROD0155,5,383.07,0.05
ORD013465,PROD0006,1,997.09,0.1
ORD002006,PROD0292,1,526.18,0.0
ORD011270,PROD0119,5,1545.4,0.0
ORD006277,PROD0022,3,174.42,0.0
ORD010105,PROD0247,2,1013.19,0.15
ORD002618,PROD0217,5,748.27,0.0
ORD008167,PROD0288,3,1099.87,0.05
ORD016634,PROD0077,2,372.07,0.05
ORD017066,PROD0052,5,1103.19,0.0
ORD001624,PROD0157,4,1342.68,0.05
ORD002365,PROD0031,1,2790.09,0.2
ORD014514,PROD0158,2,1130.19,0.05
ORD015888,PROD0078,2,1498.55,0.0
ORD013331,PROD0151,5,938.09,0.1
ORD004410,PROD0028,5,740.62,0.05
ORD007179,PROD0249,5,4012.64,0.05
ORD002115,PROD0168,2,1759.17,0.15
ORD000519,PROD0288,4,1099.87,0.05
ORD013172,PROD0237,2,1008.9,0.0
ORD004684,PROD0196,5,624.67,0.2
ORD017012,PROD0279,2,1760.62,0.0
ORD009936,PROD0142,4,536.55,0.0
ORD017650,PROD0097,1,2244.75,0.1
ORD002971,PROD0202,2,1039.91,0.0
ORD010109,PROD0122,4,768.92,0.1
ORD016275,PROD0264,5,409.67,0.05
ORD014517,PROD0205,5,315.35,0.0
ORD014353,PROD0185,1,592.37,0.0
ORD001494,PROD0176,1,890.34,0.05
ORD017102,PROD0002,4,1122.65,0.1
ORD012844,PROD0290,5,3732.41,0.0
ORD009449,PROD0054,3,1149.11,0.1
ORD010470,PROD0229,1,251.37,0.05
ORD009940,PROD0140,5,4498.4,0.1
ORD004266,PROD0055,3,1758.65,0.0
ORD015245,PROD0069,5,6450.78,0.1
ORD009326,PROD0046,4,423.5,0.05
ORD011031,PROD0161,5,1467.22,0.1
ORD013463,PROD0086,2,1292.77,0.1
ORD017427,PROD0284,3,1551.66,0.1
ORD002724,PROD0121,3,1762.91,0.15
ORD007903,PROD0011,5,569.66,0.05
ORD013781,PROD0183,5,606.73,0.0
ORD010758,PROD0165,3,1341.44,0.05
ORD016473,PROD0279,5,1760.62,0.05
ORD013833,PROD0295,3,450.65,0.0
ORD006487,PROD0215,3,496.9,0.1
ORD016814,PROD0077,4,372.07,0.1
ORD001372,PROD0057,3,1480.61,0.05
ORD017342,PROD0225,5,670.12,0.15
ORD005019,PROD0273,5,1884.45,0.05
ORD014567,PROD0015,5,768.6,0.0
ORD013632,PROD0071,5,1519.69,0.05
ORD009654,PROD0294,3,608.79,0.05
ORD012329,PROD0241,3,215.23,0.1
ORD015091,PROD0065,2,298.49,0.0
ORD011918,PROD0259,2,272.42,0.05
ORD007550,PROD0228,1,1012.55,0.05
ORD007214,PROD0078,2,1498.55,0.2
ORD008672,PROD0150,5,1469.35,0.1
ORD015018,PROD0150,1,1469.35,0.1
ORD017926,PROD0005,2,5350.44,0.05
ORD009160,PROD0087,5,2381.84,0.0
ORD003852,PROD0131,1,719.35,0.05
ORD002198,PROD0009,2,419.4,0.05
ORD012344,PROD0154,5,611.42,0.1
ORD007410,PROD0169,4,2484.01,0.1
ORD001803,PROD0160,4,2652.37,0.15
ORD011087,PROD0147,3,1277.67,0.2
ORD008015,PROD0221,3,861.75,0.1
ORD015444,PROD0086,1,1292.77,0.1
ORD009754,PROD0071,5,1519.69,0.05
ORD016027,PROD0014,3,596.75,0.0
ORD017957,PROD0017,2,5213.81,0.2
ORD015904,PROD0231,1,1734.21,0.0
ORD000993,PROD0140,3,4498.4,0.05
ORD005198,PROD0219,5,1088.5,0.0
ORD008804,PROD0137,2,445.2,0.05
ORD009052,PROD0141,2,526.7,0.1
ORD009947,PROD0161,2,1467.22,0.2
ORD001960,PROD0197,5,774.0,0.05
ORD012429,PROD0167,4,2511.68,0.0
ORD017090,PROD0163,2,703.11,0.0
ORD011388,PROD0271,4,1034.8,0.0
ORD009916,PROD0293,1,1136.47,0.1
ORD008303,PROD0272,2,834.67,0.05
ORD016252,PROD0133,5,737.29,0.0
ORD005772,PROD0232,5,480.05,0.0
ORD006444,PROD0016,2,2382.58,0.0
ORD009398,PROD0177,3,1733.37,0.0
ORD003949,PROD0004,3,1005.11,0.0
ORD011890,PROD0137,4,445.2,0.1
ORD009883,PROD0123,2,2787.07,0.1
ORD010159,PROD0141,4,526.7,0.15
ORD014688,PROD0068,2,2579.6,0.0
ORD007930,PROD0115,4,1198.13,0.2
ORD008292,PROD0047,1,743.87,0.05
ORD001437,PROD0093,5,2481.82,0.05
ORD005142,PROD0095,3,853.11,0.05
ORD011440,PROD0127,3,1166.2,0.1
ORD007850,PROD0130,1,1402.05,0.1
ORD015548,PROD0095,5,853.11,0.0
ORD016096,PROD0180,3,374.36,0.0
ORD007195,PROD0223,1,1507.47,0.15
ORD016626,PROD0280,3,239.29,0.1
ORD004309,PROD0139,3,624.58,0.05
ORD016402,PROD0175,2,2260.04,0.0
ORD001369,PROD0206,1,512.36,0.1
ORD012938,PROD0088,5,255.81,0.15
ORD008076,PROD0042,5,5997.9,0.0
ORD012037,PROD0124,3,7033.68,0.0
ORD012684,PROD0199,2,919.06,0.0
ORD013967,PROD0091,1,402.26,0.1
ORD003532,PROD0218,5,852.15,0.1
ORD013451,PROD0143,4,2026.75,0.15
ORD004037,PROD0291,4,859.37,0.0
ORD006522,PROD0083,1,1558.0,0.15
ORD013733,PROD0184,2,734.18,0.15
ORD016559,PROD0038,4,1310.24,0.1
ORD016520,PROD0254,4,1021.7,0.1
ORD009935,PROD0092,3,2466.2,0.05
ORD015786,PROD0239,4,3878.85,0.0
ORD007945,PROD0260,3,2453.91,0.1
ORD006426,PROD0180,2,374.36,0.05
ORD013045,PROD0292,1,526.18,0.0
ORD009761,PROD0169,4,2484.01,0.0
ORD017392,PROD0079,4,1557.75,0.1
ORD014698,PROD0197,4,774.0,0.05
ORD012818,PROD0128,1,414.27,0.05
ORD016459,PROD0216,1,2535.43,0.0
ORD007695,PROD0138,4,2041.26,0.05
ORD013374,PROD0116,3,435.35,0.05
ORD007454,PROD0098,5,1788.67,0.15
ORD006596,PROD0030,1,1536.54,0.1
ORD008829,PROD0049,5,474.29,0.05
ORD009723,PROD0176,5,890.34,0.1
ORD012961,PROD0209,3,4636.93,0.0
ORD008658,PROD0245,5,258.37,0.1
ORD006301,PROD0066,3,705.54,0.1
ORD015630,PROD0046,3,423.5,0.1
ORD015982,PROD0061,5,1808.63,0.05
ORD015356,PROD0118,4,437.61,0.05
ORD016621,PROD0089,2,390.25,0.0
ORD011988,PROD0288,3,1099.87,0.05
ORD011411,PROD0240,2,1736.87,0.1
ORD005283,PROD0134,4,938.67,0.15
ORD015895,PROD0230,4,1187.41,0.05
ORD002677,PROD0094,2,1585.84,0.15
ORD010259,PROD0250,4,468.3,0.0
ORD013807,PROD0132,5,1663.98,0.15
ORD001088,PROD0088,4,255.81,0.1
ORD012552,PROD0033,2,726.59,0.15
ORD007976,PROD0212,5,936.47,0.2
ORD009988,PROD0104,2,917.71,0.1
ORD008736,PROD0116,2,435.35,0.0
ORD011986,PROD0181,3,218.55,0.2
ORD003893,PROD0180,4,374.36,0.1
ORD006548,PROD0271,1,1034.8,0.05
ORD006220,PROD0185,4,592.37,0.0
ORD003639,PROD0257,1,994.46,0.1
ORD016718,PROD0144,1,1097.89,0.05
ORD000657,PROD0184,4,734.18,0.0
ORD012336,PROD0036,4,2265.4,0.0
ORD013134,PROD0073,1,3798.83,0.15
ORD006366,PROD0209,1,4636.93,0.0
ORD002170,PROD0166,1,655.43,0.0
ORD002825,PROD0172,4,3513.98,0.0
ORD000634,PROD0056,4,1815.37,0.1
ORD000059,PROD0232,2,480.05,0.15
ORD013735,PROD0010,1,1326.68,0.1
ORD013770,PROD0241,4,215.23,0.05
ORD017086,PROD0027,5,5305.88,0.0
ORD003434,PROD0222,2,803.44,0.1
ORD017929,PROD0210,2,539.67,0.15
ORD012108,PROD0136,3,4655.74,0.0
ORD013610,PROD0062,2,1731.8,0.0
ORD009438,PROD0145,3,2107.82,0.05
ORD017344,PROD0042,2,5997.9,0.2
ORD012304,PROD0247,5,1013.19,0.0
ORD003156,PROD0252,4,1091.64,0.0
ORD007738,PROD0016,2,2382.58,0.15
ORD010098,PROD0231,2,1734.21,0.1
ORD013743,PROD0221,3,861.75,0.05
ORD003656,PROD0154,4,611.42,0.15
ORD013312,PROD0142,1,536.55,0.2
ORD007441,PROD0161,5,1467.22,0.1
ORD008900,PROD0231,1,1734.21,0.05
ORD017973,PROD0132,1,1663.98,0.2
ORD014420,PROD0217,5,748.27,0.05
ORD005452,PROD0159,3,2084.31,0.15
ORD004279,PROD0222,4,803.44,0.0
ORD016004,PROD0061,5,1808.63,0.0
ORD003285,PROD0228,1,1012.55,0.1
ORD003368,PROD0039,3,748.33,0.2
ORD017056,PROD0283,4,1585.65,0.2
ORD002763,PROD0247,2,1013.19,0.05
ORD003999,PROD0028,4,740.62,0.05
ORD014374,PROD0054,3,1149.11,0.05
ORD005700,PROD0046,4,423.5,0.05
ORD012079,PROD0036,1,2265.4,0.1
ORD010665,PROD0166,2,655.43,0.2
ORD013990,PROD0197,4,774.0,0.2
ORD005905,PROD0068,4,2579.6,0.2
ORD009222,PROD0148,1,2479.32,0.1
ORD001657,PROD0112,3,3157.32,0.2
ORD004297,PROD0287,2,1180.58,0.1
ORD003385,PROD0169,2,2484.01,0.0
ORD017254,PROD0075,2,993.75,0.0
ORD002945,PROD0076,5,1911.33,0.05
ORD012226,PROD0202,5,1039.91,0.1
ORD012987,PROD0177,2,1733.37,0.1
ORD002718,PROD0148,5,2479.32,0.05
ORD002185,PROD0123,4,2787.07,0.05
ORD008404,PROD0292,4,526.18,0.05
ORD013943,PROD0225,2,670.12,0.05
ORD004292,PROD0125,2,1338.46,0.05
ORD005835,PROD0287,2,1180.58,0.0
ORD007404,PROD0137,5,445.2,0.0
ORD006808,PROD0245,2,258.37,0.0
ORD010101,PROD0273,1,1884.45,0.0
ORD003806,PROD0012,4,2384.44,0.2
ORD016676,PROD0227,4,663.99,0.0
ORD011141,PROD0275,3,1740.08,0.1
ORD010370,PROD0047,4,743.87,0.15
ORD007980,PROD0204,4,1064.24,0.1
ORD016716,PROD0156,2,1302.29,0.15
ORD003875,PROD0172,3,3513.98,0.0
ORD014473,PROD0236,1,1243.22,0.2
ORD007962,PROD0123,1,2787.07,0.0
ORD017776,PROD0269,2,528.68,0.15
ORD004341,PROD0070,2,2065.33,0.05
ORD011578,PROD0091,1,402.26,0.1
ORD007247,PROD0123,1,2787.07,0.0
ORD009453,PROD0259,2,272.42,0.05
ORD003476,PROD0201,4,1107.62,0.1
ORD005973,PROD0057,1,1480.61,0.1
ORD002060,PROD0121,3,1762.91,0.05
ORD012940,PROD0211,1,1092.8,0.1
ORD010343,PROD0296,5,605.83,0.05
ORD011787,PROD0124,3,7033.68,0.1
ORD011063,PROD0124,4,7033.68,0.1
ORD014310,PROD0071,1,1519.69,0.2
ORD014724,PROD0128,2,414.27,0.0
