order_id,customer_id,order_date,payment_method,order_status
ORD000001,CUST11173,2025-03-21,COD,Delivered
ORD000002,CUST07342,2024-09-09,UPI,Delivered
ORD000003,CUST03342,2025-12-17,COD,Delivered
ORD000004,CUST04773,2024-06-07,UPI,Delivered
ORD000005,CUST02930,2024-05-14,Net Banking,Delivered
ORD000006,CUST01643,2024-05-06,Debit Card,Delivered
ORD000007,CUST09976,2026-01-27,Net Banking,Delivered
ORD000008,CUST01875,2024-10-11,UPI,Delivered
ORD000009,CUST00853,2024-02-20,COD,Delivered
ORD000010,CUST03101,2025-12-17,UPI,Delivered
ORD000011,CUST05340,2024-08-27,COD,Delivered
ORD000012,CUST09937,2026-06-03,Credit Card,Delivered
ORD000013,CUST07217,2024-03-19,Credit Card,Delivered
ORD000014,CUST02041,2024-06-27,UPI,Delivered
ORD000015,CUST05122,2026-05-11,Credit Card,Delivered
ORD000016,CUST08902,2026-08-24,UPI,Delivered
ORD000017,CUST10841,2026-04-16,Credit Card,Delivered
ORD000018,CUST00070,2024-01-14,Debit Card,Delivered
ORD000019,CUST04801,2024-04-03,Net Banking,Delivered
ORD000020,CUST08238,2024-01-23,Credit Card,Delivered
ORD000021,CUST03135,2024-03-20,Debit Card,Delivered
ORD000022,CUST01655,2024-12-09,Net Banking,Delivered
ORD000023,CUST06882,2025-07-08,COD,Pending
ORD000024,CUST08021,2025-07-21,Net Banking,Delivered
ORD000025,CUST00917,2025-02-08,Net Banking,Delivered
ORD000026,CUST10737,2024-04-16,Debit Card,Delivered
ORD000027,CUST01051,2026-07-14,UPI,Returned
ORD000028,CUST01215,2025-04-04,Debit Card,Delivered
ORD000029,CUST01815,2026-01-26,Net Banking,Delivered
ORD000030,CUST03300,2024-12-30,Net Banking,Delivered
ORD000031,CUST04964,2025-02-27,Debit Card,Delivered
ORD000032,CUST04320,2024-04-03,Credit Card,Delivered
ORD000033,CUST11559,2024-04-11,Net Banking,Delivered
ORD000034,CUST01082,2025-06-17,Net Banking,Delivered
ORD000035,CUST09005,2025-01-20,COD,Delivered
ORD000036,CUST04817,2026-07-07,UPI,Delivered
ORD000037,CUST06798,2025-09-09,Debit Card,Returned
ORD000038,CUST06673,2024-08-02,Net Banking,Pending
ORD000039,CUST09117,2025-04-14,Credit Card,Delivered
ORD000040,CUST04592,2024-07-08,Credit Card,Returned
ORD000041,CUST06896,2025-06-25,COD,Delivered
ORD000042,CUST05158,2024-06-03,Credit Card,Delivered
ORD000043,CUST08026,2025-04-03,Debit Card,Delivered
ORD000044,CUST03170,2026-01-02,Credit Card,Delivered
ORD000045,CUST02106,2024-02-06,COD,Delivered
ORD000046,CUST01371,2024-11-21,COD,Cancelled
ORD000047,CUST00529,2025-06-11,Credit Card,Delivered
ORD000048,CUST08824,2024-05-03,Net Banking,Cancelled
ORD000049,CUST08727,2024-01-20,Credit Card,Pending
ORD000050,CUST04578,2026-04-21,COD,Delivered
ORD000051,CUST02770,2026-07-30,Net Banking,Delivered
ORD000052,CUST08405,2026-05-19,COD,Delivered
ORD000053,CUST02196,2024-08-16,Net Banking,Pending
ORD000054,CUST01120,2025-01-13,Credit Card,Cancelled
ORD000055,CUST06404,2024-11-25,UPI,Delivered
ORD000056,CUST04169,2026-01-17,Debit Card,Delivered
ORD000057,CUST04427,2025-02-12,Net Banking,Delivered
ORD000058,CUST04145,2024-11-10,COD,Returned
ORD000059,CUST03294,2025-12-26,COD,Delivered
ORD000060,CUST07533,2025-11-02,UPI,Delivered
ORD000061,CUST00794,2025-10-18,COD,Delivered
ORD000062,CUST04601,2024-08-05,COD,Delivered
ORD000063,CUST10780,2025-04-08,COD,Delivered
ORD000064,CUST02867,2025-01-28,Net Banking,Delivered
ORD000065,CUST00680,2024-05-24,Net Banking,Delivered
ORD000066,CUST06181,2026-06-16,Debit Card,Cancelled
ORD000067,CUST10986,2025-07-31,UPI,Delivered
ORD000068,CUST01203,2024-01-29,Credit Card,Delivered
ORD000069,CUST08249,2024-08-25,UPI,Delivered
ORD000070,CUST07913,2026-06-09,Debit Card,Delivered
ORD000071,CUST08528,2025-10-05,Net Banking,Cancelled
ORD000072,CUST10736,2024-10-12,Net Banking,Pending
ORD000073,CUST00584,2024-07-07,UPI,Delivered
ORD000074,CUST10435,2026-08-11,Credit Card,Delivered
ORD000075,CUST04099,2024-07-22,Net Banking,Returned
ORD000076,CUST10442,2024-06-10,Net Banking,Delivered
ORD000077,CUST03263,2024-11-29,UPI,Delivered
ORD000078,CUST10124,2024-05-31,UPI,Returned
ORD000079,CUST04303,2026-05-05,Credit Card,Delivered
ORD000080,CUST05231,2024-09-07,Credit Card,Delivered
ORD000081,CUST07674,2025-08-16,UPI,Delivered
ORD000082,CUST02611,2025-06-20,Credit Card,Delivered
ORD000083,CUST10990,2024-12-10,Debit Card,Delivered
ORD000084,CUST09099,2024-04-14,UPI,Delivered
ORD000085,CUST03206,2024-10-07,COD,Delivered
ORD000086,CUST10124,2026-01-01,Credit Card,Delivered
ORD000087,CUST02002,2024-06-06,UPI,Delivered
ORD000088,CUST01305,2026-08-08,COD,Delivered
ORD000089,CUST05346,2025-08-23,Debit Card,Returned
ORD000090,CUST05658,2026-07-08,Debit Card,Delivered
ORD000091,CUST10456,2024-08-19,Net Banking,Delivered
ORD000092,CUST08122,2026-06-13,COD,Delivered
ORD000093,CUST02640,2025-02-26,COD,Delivered
ORD000094,CUST11556,2024-07-23,COD,Delivered
ORD000095,CUST11172,2026-02-08,Debit Card,Delivered
ORD000096,CUST03093,2025-11-04,Net Banking,Delivered
ORD000097,CUST09777,2025-06-11,Debit Card,Delivered
ORD000098,CUST05460,2024-06-24,UPI,Delivered
ORD000099,CUST11638,2024-05-31,COD,Pending
ORD000100,CUST01596,2026-08-03,COD,Delivered
ORD000101,CUST04970,2024-05-09,Net Banking,Delivered
ORD000102,CUST08946,2025-04-21,Net Banking,Delivered
ORD000103,CUST08638,2024-02-08,COD,Cancelled
ORD000104,CUST07699,2024-12-24,Debit Card,Delivered
ORD000105,CUST04491,2024-07-27,Net Banking,Delivered
ORD000106,CUST03662,2025-03-18,COD,Delivered
ORD000107,CUST05476,2025-10-24,UPI,Delivered
ORD000108,CUST10192,2025-06-07,Net Banking,Delivered
ORD000109,CUST00643,2024-03-17,Credit Card,Delivered
ORD000110,CUST10681,2025-08-03,UPI,Delivered
ORD000111,CUST04310,2024-05-22,COD,Delivered
ORD000112,CUST04224,2025-05-15,Net Banking,Cancelled
ORD000113,CUST08704,2024-02-29,Net Banking,Delivered
ORD000114,CUST01643,2024-11-15,Debit Card,Delivered
ORD000115,CUST11957,2026-06-16,COD,Delivered
ORD000116,CUST11582,2026-08-23,Credit Card,Delivered
ORD000117,CUST01069,2026-04-11,COD,Delivered
ORD000118,CUST10297,2024-06-12,Net Banking,Delivered
ORD000119,CUST04482,2024-08-02,Net Banking,Delivered
ORD000120,CUST03941,2024-09-25,Credit Card,Delivered
ORD000121,CUST05303,2026-02-08,UPI,Cancelled
ORD000122,CUST05907,2026-06-06,COD,Delivered
ORD000123,CUST09624,2026-02-11,COD,Delivered
ORD000124,CUST02565,2024-02-09,COD,Delivered
ORD000125,CUST11740,2025-03-23,Debit Card,Delivered
ORD000126,CUST01955,2024-02-08,Credit Card,Pending
ORD000127,CUST03091,2025-11-05,UPI,Delivered
ORD000128,CUST09247,2026-08-10,COD,Cancelled
ORD000129,CUST01515,2025-07-06,UPI,Delivered
ORD000130,CUST10708,2024-06-21,UPI,Returned
ORD000131,CUST07018,2024-06-10,UPI,Delivered
ORD000132,CUST01873,2026-07-03,Net Banking,Delivered
ORD000133,CUST10636,2024-08-22,COD,Delivered
ORD000134,CUST08611,2025-01-16,COD,Returned
ORD000135,CUST11194,2025-12-30,COD,Delivered
ORD000136,CUST05493,2026-03-20,Credit Card,Cancelled
ORD000137,CUST02685,2026-05-24,Debit Card,Delivered
ORD000138,CUST07016,2024-01-17,Debit Card,Delivered
ORD000139,CUST05273,2024-04-22,Debit Card,Delivered
ORD000140,CUST02774,2024-02-04,Debit Card,Delivered
ORD000141,CUST05773,2024-07-22,Net Banking,Returned
ORD000142,CUST01322,2024-06-11,Credit Card,Delivered
ORD000143,CUST03215,2024-12-22,Credit Card,Delivered
ORD000144,CUST11799,2024-09-18,Net Banking,Delivered
ORD000145,CUST11376,2025-03-11,COD,Cancelled
ORD000146,CUST08461,2024-03-14,Net Banking,Delivered
ORD000147,CUST11360,2026-03-21,Debit Card,Delivered
ORD000148,CUST02379,2025-02-10,Credit Card,Delivered
ORD000149,CUST05292,2025-12-23,Net Banking,Delivered
ORD000150,CUST09678,2024-04-25,Debit Card,Delivered
ORD000151,CUST07092,2024-06-19,Debit Card,Delivered
ORD000152,CUST04387,2025-03-12,UPI,Delivered
ORD000153,CUST09007,2025-08-06,COD,Pending
ORD000154,CUST04331,2025-08-07,COD,Cancelled
ORD000155,CUST04183,2025-03-26,COD,Delivered
ORD000156,CUST11048,2026-05-14,Credit Card,Delivered
ORD000157,CUST05453,2024-07-12,Credit Card,Cancelled
ORD000158,CUST00710,2025-02-21,Credit Card,Delivered
ORD000159,CUST00733,2026-07-19,Credit Card,Pending
ORD000160,CUST11407,2025-04-10,Debit Card,Delivered
ORD000161,CUST11066,2025-10-28,COD,Returned
ORD000162,CUST01825,2025-05-11,Credit Card,Delivered
ORD000163,CUST10152,2026-01-17,COD,Delivered
ORD000164,CUST07170,2025-10-28,Debit Card,Pending
ORD000165,CUST04513,2025-03-23,Credit Card,Delivered
ORD000166,CUST11417,2026-03-17,UPI,Delivered
ORD000167,CUST03643,2024-07-06,Net Banking,Delivered
ORD000168,CUST05883,2024-07-27,Credit Card,Delivered
ORD000169,CUST10608,2024-03-13,Credit Card,Delivered
ORD000170,CUST03097,2024-04-05,UPI,Delivered
ORD000171,CUST03315,2026-07-07,Debit Card,Delivered
ORD000172,CUST07595,2026-04-25,Net Banking,Delivered
ORD000173,CUST08644,2025-06-06,Debit Card,Delivered
ORD000174,CUST01102,2024-01-04,UPI,Delivered
ORD000175,CUST02769,2024-02-20,Credit Card,Delivered
ORD000176,CUST02153,2024-10-20,Net Banking,Cancelled
ORD000177,CUST10843,2025-07-16,Debit Card,Delivered
ORD000178,CUST10916,2025-07-13,Credit Card,Delivered
ORD000179,CUST02442,2026-03-14,COD,Cancelled
ORD000180,CUST01139,2024-10-07,UPI,Returned
ORD000181,CUST09878,2024-05-12,Debit Card,Delivered
ORD000182,CUST08790,2026-04-21,COD,Delivered
