order_id,product_id,quantity,unit_price,discount,gross_sales,discount_amount,net_sales
ORD003490,PROD0285,5,1253.77,0.0,6268.85,0.0,6268.85
ORD000375,PROD0213,5,475.42,0.0,2377.1,0.0,2377.1
ORD010366,PROD0195,3,525.15,0.0,1575.45,0.0,1575.45
ORD017911,PROD0214,4,285.7,0.1,1142.8,114.28,1028.52
ORD013600,PROD0204,1,1064.24,0.0,1064.24,0.0,1064.24
ORD005198,PROD0131,2,719.35,0.05,1438.7,71.94,1366.76
ORD005685,PROD0037,5,1059.57,0.0,5297.85,0.0,5297.85
ORD015353,PROD0275,5,1740.08,0.0,8700.4,0.0,8700.4
ORD016772,PROD0124,4,7033.68,0.0,28134.72,0.0,28134.72
ORD006197,PROD0295,5,450.65,0.1,2253.25,225.32,2027.93
ORD017244,PROD0171,1,619.82,0.1,619.82,61.98,557.84
ORD008252,PROD0276,2,1150.97,0.15,2301.94,345.29,1956.65
ORD017654,PROD0040,4,5448.94,0.0,21795.76,0.0,21795.76
ORD015613,PROD0019,4,2132.91,0.15,8531.64,1279.75,7251.89
ORD005103,PROD0230,3,1187.41,0.15,3562.23,534.33,3027.9
ORD011076,PROD0280,4,239.29,0.0,957.16,0.0,957.16
ORD004837,PROD0257,2,994.46,0.2,1988.92,397.78,1591.14
ORD004897,PROD0060,1,511.57,0.05,511.57,25.58,485.99
ORD003966,PROD0099,5,550.57,0.1,2752.85,275.29,2477.56
ORD015010,PROD0007,1,838.82,0.1,838.82,83.88,754.94
ORD013711,PROD0085,1,2361.96,0.1,2361.96,236.2,2125.76
ORD002272,PROD0031,2,2790.09,0.0,5580.18,0.0,5580.18
ORD005179,PROD0051,3,257.94,0.0,773.82,0.0,773.82
ORD005100,PROD0209,4,4636.93,0.1,18547.72,1854.77,16692.95
ORD009570,PROD0188,3,5555.06,0.05,16665.18,833.26,15831.92
ORD008032,PROD0204,3,1064.24,0.0,3192.72,0.0,3192.72
ORD009401,PROD0060,3,511.57,0.1,1534.71,153.47,1381.24
ORD012606,PROD0224,5,4037.97,0.05,20189.85,1009.49,19180.36
ORD011979,PROD0079,1,1557.75,0.15,1557.75,233.66,1324.09
ORD009969,PROD0195,1,525.15,0.05,525.15,26.26,498.89
ORD014345,PROD0057,3,1480.61,0.1,4441.83,444.18,3997.65
ORD004848,PROD0230,3,1187.41,0.15,3562.23,534.33,3027.9
ORD016919,PROD0242,4,1251.99,0.0,5007.96,0.0,5007.96
ORD008568,PROD0092,5,2466.2,0.0,12331.0,0.0,12331.0
ORD005253,PROD0288,4,1099.87,0.1,4399.48,439.95,3959.53
ORD000112,PROD0071,5,1519.69,0.0,7598.45,0.0,7598.45
ORD005468,PROD0296,3,605.83,0.1,1817.49,181.75,1635.74
ORD010655,PROD0244,5,1140.3,0.1,5701.5,570.15,5131.35
ORD012809,PROD0074,1,701.79,0.0,701.79,0.0,701.79
ORD008201,PROD0053,2,499.98,0.05,999.96,50.0,949.96
ORD006729,PROD0190,1,1494.94,0.1,1494.94,149.49,1345.45
ORD013550,PROD0131,3,719.35,0.0,2158.05,0.0,2158.05
ORD005114,PROD0002,1,1122.65,0.1,1122.65,112.27,1010.38
ORD001648,PROD0182,5,1491.37,0.1,7456.85,745.68,6711.17
ORD012521,PROD0102,5,1726.73,0.0,8633.65,0.0,8633.65
ORD001650,PROD0051,3,257.94,0.2,773.82,154.76,619.06
ORD000132,PROD0046,4,423.5,0.1,1694.0,169.4,1524.6
ORD007633,PROD0223,5,1507.47,0.0,7537.35,0.0,7537.35
ORD010358,PROD0019,1,2132.91,0.05,2132.91,106.65,2026.26
ORD005475,PROD0150,3,1469.35,0.1,4408.05,440.81,3967.24
ORD007308,PROD0149,1,231.51,0.0,231.51,0.0,231.51
ORD016811,PROD0283,2,1585.65,0.1,3171.3,317.13,2854.17
ORD002221,PROD0127,3,1166.2,0.1,3498.6,349.86,3148.74
ORD013979,PROD0149,1,231.51,0.0,231.51,0.0,231.51
ORD000105,PROD0080,4,1973.58,0.05,7894.32,394.72,7499.6
ORD001596,PROD0029,4,1224.14,0.05,4896.56,244.83,4651.73
ORD000522,PROD0289,1,1376.41,0.0,1376.41,0.0,1376.41
ORD008341,PROD0266,5,1066.97,0.2,5334.85,1066.97,4267.88
ORD011222,PROD0145,5,2107.82,0.05,10539.1,526.96,10012.14
ORD009605,PROD0191,1,425.27,0.1,425.27,42.53,382.74
ORD016579,PROD0262,5,1081.48,0.0,5407.4,0.0,5407.4
ORD010816,PROD0138,5,2041.26,0.0,10206.3,0.0,10206.3
ORD001306,PROD0011,5,569.66,0.1,2848.3,284.83,2563.47
ORD004091,PROD0235,3,1069.09,0.15,3207.27,481.09,2726.18
